SMILES,Actual_logS,GCN_Prediction,GAT_Prediction,GCN_Error,GAT_Error,Error_Difference,MolecularWeight,LogP,TPSA,Rings,RotatableBonds,HBD,HBA
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,-4.93,-5.7281337,-5.757546,0.79813385,0.8275461,0.02941227,428.12000000000006,4.3991000000000025,46.53,2,4,1,3
CC(C)=CCC/C(C)=C\CO,-2.46,-2.3937235,-2.5507517,0.06627655,0.09075165,0.024475098,154.253,2.6714000000000016,20.23,0,4,1,1
CCOC=O,0.15,0.4517413,0.22885147,0.3017413,0.07885146,-0.22288984,74.07900000000001,0.17930000000000001,26.3,0,2,0,2
Cc1ccc(O)cc1,-0.73,-1.1980616,-0.83219504,0.46806157,0.102195024,-0.36586654,108.13999999999999,1.7006199999999998,20.23,1,0,1,1
Cc1ccnc(C)c1,0.38,-1.0338554,-0.6944372,1.4138554,1.0744371,-0.3394183,107.15599999999999,1.69844,12.89,1,0,0,1
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21,-6.763646,-6.7689347,0.4463539,0.4410653,-0.005288601,326.437,6.620600000000001,0.0,2,1,0,0
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,-2.73,-4.177014,-3.2360399,1.4470139,0.50603986,-0.940974,283.7989999999999,3.1641200000000014,29.54,1,6,0,2
C1c2ccccc2c3cc4ccccc4cc13,-8.04,-7.075132,-5.4147806,0.96486807,2.6252193,1.6603513,216.283,4.411000000000002,0.0,4,0,0,0
COc1cc(CC=C)ccc1O,-1.56,-2.003452,-2.2984278,0.44345212,0.7384279,0.29497576,164.204,2.1293,29.46,1,3,1,2
CCC,-1.94,-2.5917687,-2.3793237,0.6517687,0.43932366,-0.21244502,44.096999999999994,1.4163,0.0,0,0,0,0
CCCCCCCCC(=O)C,-3.3,-3.1765935,-2.9622438,0.12340641,0.33775616,0.21434975,156.269,3.3260000000000023,17.07,0,7,0,1
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,-8.049324,-7.5862317,0.1806755,0.64376783,0.46309233,252.31599999999997,5.640400000000003,0.0,5,0,0,0
CC(C)C(=O)C(C)C,-1.3,-2.7427568,-1.7743995,1.4427569,0.47439957,-0.9683573,114.18799999999997,1.8675,17.07,0,2,0,1
Cc1ccncc1C,0.36,-0.9397107,-0.5151849,1.2997108,0.8751849,-0.42452586,107.15599999999999,1.69844,12.89,1,0,0,1
Oc1c(Br)cc(C#N)cc1Br ,-3.33,-4.1279273,-2.288745,0.7979274,1.041255,0.24332762,276.91499999999996,2.78888,44.019999999999996,1,0,1,2
COc1ccc(Cl)cc1,-2.78,-2.149008,-2.6750026,0.63099194,0.1049974,-0.52599454,142.585,2.3486000000000002,9.23,1,1,0,1
OC1CCCCCC1,-0.88,-1.6744556,-1.1693165,0.79445565,0.28931653,-0.5051391,114.188,1.7015,20.23,1,0,1,1
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C ,-4.3,-4.704382,-4.826104,0.40438175,0.526104,0.12172222,296.41,3.6126000000000023,40.46,4,0,2,2
CC(C)CCO,-0.51,-1.0676664,-0.4234644,0.5576664,0.0865356,-0.47113082,88.14999999999999,1.0248,20.23,0,2,1,1
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332,-9.846973,-10.109859,0.51497364,0.7778597,0.26288605,300.36000000000007,6.919200000000002,0.0,7,0,0,0
COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,-0.742,-0.64264834,-1.8020746,0.099351645,1.0600746,0.9607229,446.40500000000003,-2.884799999999998,184.6,3,6,6,12
CC(C)C(C)(C)C,-4.36,-5.452964,-3.8998454,1.0929637,0.46015477,-0.6328089,100.20499999999998,2.6885000000000012,0.0,0,0,0,0
Cc1cccc2c(C)cccc12,-4.679,-4.369715,-3.7143934,0.3092847,0.9646065,0.65532184,156.228,3.456640000000002,0.0,2,0,0,0
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,-4.179005,-3.9295275,0.014994621,0.26447225,0.24947762,345.4010000000002,3.8896000000000033,56.790000000000006,1,8,1,5
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,-3.2021255,-3.5400374,1.6028743,1.2649624,-0.33791184,300.314,3.784220000000002,76.66,2,3,2,4
CCCCCCCCCC(C)O,-2.94,-3.7663984,-3.5304961,0.8263984,0.59049606,-0.23590231,172.312,3.5079000000000025,20.23,0,8,1,1
CCCOC(=O)CC,-0.82,-0.91789395,-0.96951205,0.09789395,0.14951205,0.0516181,116.15999999999998,1.3496000000000001,26.3,0,3,0,2
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,-2.3028226,-1.5534581,0.22017741,0.9695419,0.7493645,180.16699999999997,-1.0397,72.68,2,0,1,3
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982,-2.0695558,-2.2357647,0.91244435,0.7462354,-0.16620898,224.25999999999996,1.0831,75.27,2,0,2,3
CCCCCCCCCCCC(=O)OC,-4.69,-3.7125566,-5.0125065,0.97744346,0.32250643,-0.654937,214.34899999999996,4.080300000000003,26.3,0,10,0,2
Clc1ccc2ccccc2c1,-4.14,-4.9816947,-5.223951,0.84169483,1.083951,0.24225616,162.61899999999997,3.4932000000000016,0.0,2,0,0,0
Cc2cnc1cncnc1n2,-0.854,-1.1529824,-0.86092824,0.29898238,0.006928265,-0.29205412,146.153,0.7282199999999998,51.56,2,0,0,4
Brc1ccccc1,-2.55,-2.479507,-2.5243888,0.07049298,0.025611162,-0.04488182,157.01,2.4491000000000005,0.0,1,0,0,0
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,-6.02,-3.635474,-3.896677,2.384526,2.123323,-0.26120305,310.687,3.5801000000000016,58.2,2,2,2,2
Cc1cccc(c1)N(=O)=O,-2.44,-2.5733762,-2.4815445,0.13337612,0.041544437,-0.091831684,137.138,1.90322,43.14,1,1,0,2
CCNc1nc(NC(C)C)nc(SC)n1,-3.04,-2.6007342,-3.1800902,0.43926573,0.14009023,-0.2991755,227.337,1.8455999999999997,62.730000000000004,1,5,2,6
Nc1nc(O)nc2nc[nH]c12 ,-3.401,-1.4637474,-1.5461264,1.9372526,1.8548737,-0.08237898,151.129,-0.3593,100.71000000000001,2,0,3,5
Nc3ccc2cc1ccccc1cc2c3 ,-5.17,-5.640062,-3.8519123,0.47006178,1.3180878,0.84802604,193.249,3.5752000000000015,26.02,3,0,1,1
C(c1ccccc1)c2ccccc2,-4.08,-3.3235378,-3.1714048,0.7564621,0.9085951,0.15213299,168.239,3.277400000000002,0.0,2,2,0,0
NC(=S)Nc1ccccc1,-1.77,-2.7500606,-3.8361468,0.9800606,2.0661469,1.0860863,152.22199999999998,1.3421,38.05,1,1,2,1
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92,-7.4398856,-7.5120053,0.48011446,0.40799475,-0.07211971,395.3270000000001,7.9274000000000004,0.0,2,1,0,0
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.42,-7.2411737,-6.5815477,0.17882633,0.83845234,0.659626,360.88200000000006,7.274000000000001,0.0,2,1,0,0
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37,-3.1478858,-3.944646,1.2221141,0.425354,-0.7967601,258.104,3.130700000000001,38.33,1,2,1,2
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96,-5.230018,-4.9032865,1.7299819,2.0567136,0.32673168,390.5640000000003,6.433000000000007,52.60000000000001,1,14,0,4
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,-4.1218114,-4.517802,0.30481148,0.70080185,0.39599037,330.4680000000001,3.8384000000000027,54.37,4,1,1,3
CCBr,-1.09,-1.5214257,-0.82518727,0.4314257,0.26481277,-0.16661292,108.966,1.4012,0.0,0,0,0,0
